Stadtteil;Einwohner-/innen mit Migrationshintergrund;Anteil Einwohner-/innen mit Migrationshintergrund an allen Einwohnern in %;Einwohner-/innen mit Migrationshintergrund unter 18 Jahre;Anteil Einwohner-/innen mit Migrationshintergrund unter 18 Jahre an allen Einwohnern unter 18 Jahre in %
Altstadt-Süd;8793;31,8;1170;51,1
Neustadt-Süd;10600;27,6;1415;35,4
Altstadt-Nord;6544;36,1;722;56,0
Neustadt-Nord;7995;28,1;1140;37,9
Deutz;4760;30,9;883;51,1
Bayenthal;2742;29,7;596;41,2
Marienburg;2218;34,9;480;48,0
Raderberg;2066;34,8;489;53,9
Raderthal;1150;24,2;238;31,9
Zollstock;6811;30,5;1340;47,2
Rondorf;2460;26,1;554;35,5
Hahnwald;469;22,6;110;25,6
Rodenkirchen;3922;24,0;713;31,0
Weiß;1115;18,8;227;20,7
Sürth;2605;24,0;588;26,9
Godorf;929;38,2;241;55,5
Immendorf;621;30,6;166;44,3
Meschenich;4597;60,2;1247;74,9
Klettenberg;1889;17,8;346;20,5
Sülz;7127;19,5;988;21,7
Lindenthal;6183;20,4;795;22,4
Braunsfeld;2644;22,8;416;28,7
Müngersdorf;2503;29,3;424;33,2
Junkersdorf;3154;22,8;571;22,7
Weiden;6207;36,1;1400;55,0
Lövenich;1912;21,4;408;25,7
Widdersdorf;3570;30,9;1181;37,8
Lindenthal;35189;23,6;6529;29,3
Ehrenfeld;12877;34,8;2297;53,1
Neuehrenfeld;7315;29,8;1529;41,4
Bickendorf;7347;44,2;1902;62,0
Vogelsang;2511;29,7;649;42,7
Bocklemünd/Mengenich;4624;43,3;1280;61,5
Ossendorf;4436;43,8;1163;55,0
Nippes;10846;30,4;2109;39,3
Mauenheim;1852;32,8;433;46,6
Riehl;3576;30,8;634;44,5
Niehl;8617;43,2;2065;62,1
Weidenpesch;5183;37,1;1159;59,1
Longerich;3983;29,3;924;43,3
Bilderstöckchen;8087;51,4;2070;66,7
Merkenich;1796;31,1;439;46,8
Fühlingen;457;22,1;80;23,7
Seeberg;7958;69,2;1930;80,2
Heimersdorf;1583;26,6;349;41,6
Lindweiler;1448;41,8;369;56,0
Pesch;2096;27,5;414;39,5
Esch/Auweiler;1640;24,5;401;33,2
Volkhoven/Weiler;3554;58,4;891;70,3
Chorweiler;11062;80,1;2806;86,3
Blumenberg;3806;67,4;924;76,2
Roggendorf/Thenhoven;1714;41,7;427;53,8
Worringen;2767;27,9;732;40,2
Poll;3652;31,7;907;47,7
Westhoven;1590;30,3;310;42,4
Ensen;2589;35,4;563;50,5
Gremberghoven;2009;67,3;595;86,4
Eil;3961;42,6;1092;65,5
Porz;7747;51,8;1806;69,9
Urbach;5207;41,9;1234;60,8
Elsdorf;576;35,5;160;50,3
Grengel;2129;38,7;517;56,3
Wahnheide;2454;31,5;577;49,9
Wahn;2562;36,6;749;52,8
Lind;915;26,8;185;40,1
Libur;216;19,4;56;24,9
Zündorf;3876;31,5;953;47,6
Langel;609;17,7;135;22,1
Finkenberg;5641;82,1;1548;92,9
Humboldt/Gremberg;8765;56,6;2016;78,8
Kalk;14348;60,7;3395;84,3
Vingst;8038;61,4;2268;77,7
Höhenberg;6920;55,5;1602;78,3
Ostheim;7742;61,3;2163;76,6
Merheim;4999;45,3;1400;61,1
Brück;2380;23,2;542;31,5
Rath/Heumar;2507;21,6;562;30,6
Neubrück;5078;57,6;1381;76,6
Mülheim;22095;51,8;5177;73,0
Buchforst;3968;53,9;917;74,0
Buchheim;7079;53,1;1763;72,9
Holweide;8526;40,1;2154;56,2
Dellbrück;4692;21,8;1023;29,3
Höhenhaus;4654;30,6;1261;45,8
Dünnwald;4056;35,0;1152;49,9
Stammheim;3238;41,1;728;55,2
Flittard;2254;28,6;606;46,0